File Created by: PDT Download Downhole Data
Version: 1.234
Tool Name: PowerMaster
Tool Serial Number: 14
PC Download Start Date and Time: 1/29/2021 at  3:24:16
Date and Time on the tool: 1/29/2021 at  3:24:16
#Recorded ,            Date-Time ,    CRC , objectId ,  jobID , runNum , dataLen ,     XYVibe ,     XYPeak , XYShock ,       ZVib ,      ZPeak , ZShock , ZVibeFlg , ZShkFlg , XYVibeFlg , XYShkFlg , PackedVib , 
000000084 ,  2021/01/28 11:44:37 ,  65485 ,        3 ,      0 ,      0 ,      25 ,  0.7274562 ,   2.115385 ,       0 ,  0.7982071 ,        1.5 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000085 ,  2021/01/28 11:45:07 ,  16378 ,        3 ,      0 ,      0 ,      25 ,  0.7433512 ,   2.230769 ,       0 ,  0.7674273 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000086 ,  2021/01/28 11:45:37 ,  24744 ,        3 ,      0 ,      0 ,      25 ,  0.7541146 ,   2.884615 ,       0 ,  0.7669008 ,   2.730769 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000087 ,  2021/01/28 11:46:07 ,  60844 ,        3 ,      0 ,      0 ,      25 ,  0.7596802 ,   3.153846 ,       0 ,  0.7785582 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000088 ,  2021/01/28 11:46:37 ,  42864 ,        3 ,      0 ,      0 ,      25 ,   0.745646 ,        1.5 ,       0 ,  0.7866417 ,   2.230769 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000089 ,  2021/01/28 11:47:07 ,  19951 ,        3 ,      0 ,      0 ,      25 ,  0.7440961 ,   1.615385 ,       0 ,  0.7842988 ,   2.115385 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000090 ,  2021/01/28 11:47:37 ,  44208 ,        3 ,      0 ,      0 ,      25 ,  0.7479605 ,   2.576923 ,       0 ,  0.7816887 ,   1.846154 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000091 ,  2021/01/28 11:48:07 ,  62102 ,        3 ,      0 ,      0 ,      25 ,  0.7473397 ,   1.576923 ,       0 ,  0.7768887 ,   2.192308 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000092 ,  2021/01/28 11:48:37 ,  22213 ,        3 ,      0 ,      0 ,      25 ,  0.7450567 ,   1.615385 ,       0 ,  0.7822719 ,   1.769231 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000093 ,  2021/01/28 11:49:37 ,  43921 ,        3 ,      0 ,      0 ,      25 ,  0.7483901 ,   2.076923 ,       0 ,   0.772561 ,   2.384615 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000094 ,  2021/01/28 11:50:07 ,  18160 ,        3 ,      0 ,      0 ,      25 ,  0.7468693 ,        1.5 ,       0 ,  0.7710579 ,   1.923077 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000095 ,  2021/01/28 11:50:37 ,  36917 ,        3 ,      0 ,      0 ,      25 ,  0.7458238 ,          0 ,       0 ,  0.7683427 ,   2.153846 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000096 ,  2021/01/28 11:51:07 ,  14005 ,        3 ,      0 ,      0 ,      25 ,  0.7385385 ,   1.961539 ,       0 ,  0.7797052 ,   2.115385 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000097 ,  2021/01/28 11:51:37 ,  13887 ,        3 ,      0 ,      0 ,      25 ,  0.7341986 ,   1.538462 ,       0 ,  0.7801857 ,   2.153846 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000098 ,  2021/01/28 11:52:07 ,  34986 ,        3 ,      0 ,      0 ,      25 ,  0.7419306 ,   1.653846 ,       0 ,  0.7725269 ,   1.769231 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000099 ,  2021/01/28 11:52:37 ,  46277 ,        3 ,      0 ,      0 ,      25 ,  0.7398743 ,   1.692308 ,       0 ,  0.7769026 ,   1.692308 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000100 ,  2021/01/28 11:53:07 ,  23435 ,        3 ,      0 ,      0 ,      25 ,  0.7442295 ,   1.692308 ,       0 ,  0.7687279 ,   2.384615 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000101 ,  2021/01/28 11:53:37 ,   3547 ,        3 ,      0 ,      0 ,      25 ,  0.7431358 ,   1.653846 ,       0 ,    0.76871 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000102 ,  2021/01/28 11:54:07 ,  17232 ,        3 ,      0 ,      0 ,      25 ,  0.7373104 ,   1.615385 ,       0 ,  0.7742827 ,        1.5 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000103 ,  2021/01/28 11:54:37 ,  56552 ,        3 ,      0 ,      0 ,      25 ,  0.7377718 ,   1.923077 ,       0 ,  0.7704129 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000104 ,  2021/01/28 11:55:07 ,  41548 ,        3 ,      0 ,      0 ,      25 ,   0.734735 ,   1.653846 ,       0 ,  0.7738534 ,   2.038462 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000105 ,  2021/01/28 11:55:37 ,  43086 ,        3 ,      0 ,      0 ,      25 ,  0.7352249 ,   1.884615 ,       0 ,  0.7715343 ,   1.961539 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000106 ,  2021/01/28 11:56:07 ,  62450 ,        3 ,      0 ,      0 ,      25 ,  0.7416377 ,   1.615385 ,       0 ,  0.7693616 ,   2.423077 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000107 ,  2021/01/28 11:56:37 ,  29446 ,        3 ,      0 ,      0 ,      25 ,  0.7418408 ,          0 ,       0 ,  0.7631546 ,   1.653846 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000108 ,  2021/01/28 11:57:07 ,  36194 ,        3 ,      0 ,      0 ,      25 ,  0.7383857 ,          0 ,       0 ,  0.7604373 ,   2.076923 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000109 ,  2021/01/28 11:57:37 ,  46361 ,        3 ,      0 ,      0 ,      25 ,  0.7367048 ,   1.538462 ,       0 ,  0.7653313 ,   1.923077 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000110 ,  2021/01/28 11:58:37 ,   4242 ,        3 ,      0 ,      0 ,      25 ,  0.7401922 ,   1.769231 ,       0 ,  0.7592999 ,   2.192308 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000111 ,  2021/01/28 11:59:07 ,  54705 ,        3 ,      0 ,      0 ,      25 ,  0.7379673 ,   1.692308 ,       0 ,  0.7622278 ,   1.615385 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000112 ,  2021/01/28 11:59:37 ,  41855 ,        3 ,  65280 ,  65535 ,   65535 ,        NaN ,        NaN ,   65535 ,        NaN ,        NaN ,  65535 ,      255 ,     255 ,       255 ,      255 ,       255 , 
000000113 ,  2021/01/28 12:00:07 ,  61703 ,        3 ,      0 ,      0 ,      25 ,  0.7375448 ,   1.538462 ,       0 ,  0.7619799 ,          2 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
